Year,StateAbbr,StateDesc,CountyName,CountyFIPS,TractFIPS,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,States,Counties
2020,NC,North Carolina,Forsyth,37067,37067000802,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,3.1,,,3,3.2,2100,POINT (-80.23127538 36.07657807),37067000802,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),37,2337
2020,NC,North Carolina,Forsyth,37067,37067004010,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,2.1,,,2,2.2,3392,POINT (-80.3798613 36.10896479),37067004010,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001602,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,36.7,,,31.6,42.2,3077,POINT (-80.22093654 36.12260812),37067001602,PREVENT,COREW,CrdPrv,Core preventive services for older women,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002901,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,15.7,,,14.8,16.4,4784,POINT (-80.2290432 36.21429108),37067002901,HLTHSTAT,MHLTH,CrdPrv,Mental Health,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003309,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,16.4,,,15.2,17.7,4956,POINT (-80.17945558 36.09222425),37067003309,HLTHSTAT,GHLTH,CrdPrv,General Health,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003309,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,12.1,,,11.6,12.7,4956,POINT (-80.17945558 36.09222425),37067003309,HLTHOUT,DIABETES,CrdPrv,Diabetes,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002807,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,33.4,,,32.5,34.4,5031,POINT (-80.2712063 36.23347304),37067002807,HLTHOUT,OBESITY,CrdPrv,Obesity,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003201,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,66.2,,,62.3,69.6,4774,POINT (-80.0940727 36.12512118),37067003201,PREVENT,DENTAL,CrdPrv,Dental Visit,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003313,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,23.2,,,21.1,25.3,1458,POINT (-80.0682524 36.0277462),37067003313,RISKBEH,LPA,CrdPrv,Physical Inactivity,37,2337
2020,NC,North Carolina,Forsyth,37067,37067004103,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,10.4,,,9.2,11.7,3478,POINT (-80.3727443 36.13434041),37067004103,HLTHSTAT,GHLTH,CrdPrv,General Health,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001200,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,9.6,,,8.7,10.8,1959,POINT (-80.26839411 36.10931829),37067001200,HLTHSTAT,MHLTH,CrdPrv,Mental Health,37,2337
2019,NC,North Carolina,Forsyth,37067,37067003600,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,86,,,85.4,86.5,5968,POINT (-80.24387607 36.01874338),37067003600,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,37,2337
2019,NC,North Carolina,Forsyth,37067,37067002806,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,77.2,,,76.4,78,3274,POINT (-80.27603062 36.18639574),37067002806,PREVENT,BPMED,CrdPrv,Taking BP Medication,37,2337
2020,NC,North Carolina,Forsyth,37067,37067004010,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,1.9,,,1.7,2.1,3392,POINT (-80.3798613 36.10896479),37067004010,HLTHOUT,STROKE,CrdPrv,Stroke,37,2337
2019,NC,North Carolina,Forsyth,37067,37067001100,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,85.1,,,84.2,85.9,2254,POINT (-80.26221307 36.09504854),37067001100,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002501,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,8.4,,,8,8.8,2590,POINT (-80.28289292 36.10440801),37067002501,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),37,2337
2020,NC,North Carolina,Forsyth,37067,37067001700,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,37.7,,,36.6,38.9,5231,POINT (-80.19974096 36.11442226),37067001700,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003402,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,18.6,,,16.7,20.4,2182,POINT (-80.13998466 36.03910993),37067003402,RISKBEH,CSMOKING,CrdPrv,Current Smoking,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003404,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,37.4,,,29.3,44.8,3917,POINT (-80.19153925 36.0670674),37067003404,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003202,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,17.1,,,11.7,23.7,3904,POINT (-80.05426352 36.12260613),37067003202,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003909,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,7.8,,,7.2,8.6,4356,POINT (-80.34762093 36.0959267),37067003909,HLTHOUT,DIABETES,CrdPrv,Diabetes,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003202,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,10.4,,,9.6,11.1,3904,POINT (-80.05426352 36.12260613),37067003202,HLTHOUT,DIABETES,CrdPrv,Diabetes,37,2337
2019,NC,North Carolina,Forsyth,37067,37067004103,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,75.7,,,74.8,76.5,3478,POINT (-80.3727443 36.13434041),37067004103,PREVENT,BPMED,CrdPrv,Taking BP Medication,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001700,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,57.4,,,54.9,60.1,5231,POINT (-80.19974096 36.11442226),37067001700,PREVENT,DENTAL,CrdPrv,Dental Visit,37,2337
2020,NC,North Carolina,Forsyth,37067,37067004103,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,16.5,,,14.9,18.2,3478,POINT (-80.3727443 36.13434041),37067004103,RISKBEH,LPA,CrdPrv,Physical Inactivity,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003806,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,13.2,,,12.3,14.1,3012,POINT (-80.34715788 36.04204472),37067003806,HLTHSTAT,MHLTH,CrdPrv,Mental Health,37,2337
2019,NC,North Carolina,Forsyth,37067,37067000802,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,75.7,,,75.1,76.3,2100,POINT (-80.23127538 36.07657807),37067000802,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003106,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,31.2,,,30.1,32.3,3099,POINT (-80.0991692 36.2316984),37067003106,HLTHOUT,OBESITY,CrdPrv,Obesity,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002002,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,4.1,,,3.8,4.4,3072,POINT (-80.25199012 36.0542286),37067002002,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,37,2337
2019,NC,North Carolina,Forsyth,37067,37067003701,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,26,,,25.4,26.6,4830,POINT (-80.26968853 36.05616365),37067003701,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001400,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,83.5,,,81.1,85.7,3710,POINT (-80.25535261 36.14223383),37067001400,PREVENT,MAMMOUSE,CrdPrv,Mammography,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001200,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,53.1,,,42.6,61,1959,POINT (-80.26839411 36.10931829),37067001200,PREVENT,COREW,CrdPrv,Core preventive services for older women,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001601,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,19.2,,,12.4,27.4,3652,POINT (-80.21232108 36.14057573),37067001601,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001602,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,31.4,,,24.6,38.1,3077,POINT (-80.22093654 36.12260812),37067001602,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003312,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,5.7,,,4.8,6.7,2692,POINT (-80.08847512 36.05925237),37067003312,HLTHOUT,COPD,CrdPrv,COPD,37,2337
2019,NC,North Carolina,Forsyth,37067,37067003003,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,87.6,,,87.4,87.9,3272,POINT (-80.15251389 36.13331849),37067003003,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001000,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,4.5,,,4.1,4.9,4652,POINT (-80.26490783 36.07843284),37067001000,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002807,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9,,,8.7,9.4,5031,POINT (-80.2712063 36.23347304),37067002807,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,37,2337
2020,NC,North Carolina,Forsyth,37067,37067004104,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,88.4,,,86.8,89.8,3429,POINT (-80.37297472 36.16789211),37067004104,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001300,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,76.1,,,74.2,77.9,4535,POINT (-80.27617771 36.12959564),37067001300,PREVENT,CHECKUP,CrdPrv,Annual Checkup,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001901,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,37.4,,,35.5,39.4,1549,POINT (-80.22677871 36.06489855),37067001901,RISKBEH,LPA,CrdPrv,Physical Inactivity,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003003,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,31.6,,,30.5,32.5,3272,POINT (-80.15251389 36.13331849),37067003003,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,37,2337
2020,NC,North Carolina,Forsyth,37067,37067004014,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,9.3,,,8.5,10.1,3016,POINT (-80.3720694 36.02610959),37067004014,HLTHSTAT,PHLTH,CrdPrv,Physical Health,37,2337
2019,NC,North Carolina,Forsyth,37067,37067001902,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,33.6,,,32.4,34.9,1917,POINT (-80.24633872 36.07103874),37067001902,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,37,2337
2020,NC,North Carolina,Forsyth,37067,37067000700,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,34.3,,,25.6,43.1,1764,POINT (-80.23109571 36.09824121),37067000700,PREVENT,COREM,CrdPrv,Core preventive services for older men,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002603,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,79.2,,,76.8,81.4,6553,POINT (-80.31761918 36.13376913),37067002603,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003002,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,7.5,,,7.1,7.9,3932,POINT (-80.17417274 36.15062746),37067003002,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,37,2337
2019,NC,North Carolina,Forsyth,37067,37067001200,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,35.3,,,33.6,37.5,1959,POINT (-80.26839411 36.10931829),37067001200,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,37,2337
2020,NC,North Carolina,Forsyth,37067,37067000302,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,16.3,,,14.8,17.9,1859,POINT (-80.25651421 36.11934205),37067000302,HLTHSTAT,PHLTH,CrdPrv,Physical Health,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001200,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,24.7,,,23.4,26.1,1959,POINT (-80.26839411 36.10931829),37067001200,HLTHOUT,OBESITY,CrdPrv,Obesity,37,2337
2019,NC,North Carolina,Forsyth,37067,37067004010,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,71.5,,,70.7,72.4,3392,POINT (-80.3798613 36.10896479),37067004010,PREVENT,BPMED,CrdPrv,Taking BP Medication,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001601,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,85.1,,,82.3,87.6,3652,POINT (-80.21232108 36.14057573),37067001601,PREVENT,MAMMOUSE,CrdPrv,Mammography,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001000,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,21.9,,,20.7,23.1,4652,POINT (-80.26490783 36.07843284),37067001000,HLTHOUT,DEPRESSION,CrdPrv,Depression,37,2337
2020,NC,North Carolina,Forsyth,37067,37067004104,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,5.6,,,4.6,6.5,3429,POINT (-80.37297472 36.16789211),37067004104,HLTHOUT,COPD,CrdPrv,COPD,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003003,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,2.8,,,2.7,3,3272,POINT (-80.15251389 36.13331849),37067003003,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001601,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,7.1,,,6,8.3,3652,POINT (-80.21232108 36.14057573),37067001601,HLTHOUT,COPD,CrdPrv,COPD,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003309,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,17.6,,,13.6,21.3,4956,POINT (-80.17945558 36.09222425),37067003309,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,37,2337
2020,NC,North Carolina,Forsyth,37067,37067000900,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,13.4,,,12.8,14,3508,POINT (-80.24909082 36.08422545),37067000900,RISKBEH,BINGE,CrdPrv,Binge Drinking,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003103,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,29.3,,,27.7,30.9,5468,POINT (-80.07657309 36.18365292),37067003103,HLTHOUT,OBESITY,CrdPrv,Obesity,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003108,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,23,,,16.3,30.1,3495,POINT (-80.05234686 36.15036202),37067003108,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002502,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,4.7,,,4,5.6,2770,POINT (-80.29912085 36.09940446),37067002502,HLTHOUT,COPD,CrdPrv,COPD,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001500,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,21.9,,,20.9,22.9,4095,POINT (-80.23983926 36.15171466),37067001500,HLTHOUT,DEPRESSION,CrdPrv,Depression,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003804,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,79.6,,,77.7,81.4,4100,POINT (-80.32104682 36.03855459),37067003804,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,37,2337
2020,NC,North Carolina,Forsyth,37067,37067000500,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,7.1,,,6.3,7.9,2391,POINT (-80.22807063 36.11748629),37067000500,HLTHOUT,STROKE,CrdPrv,Stroke,37,2337
2019,NC,North Carolina,Forsyth,37067,37067003103,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,88.8,,,88.4,89.1,5468,POINT (-80.07657309 36.18365292),37067003103,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003313,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,7.7,,,7.4,8.1,1458,POINT (-80.0682524 36.0277462),37067003313,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),37,2337
2020,NC,North Carolina,Forsyth,37067,37067003106,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,15.8,,,15.3,16.3,3099,POINT (-80.0991692 36.2316984),37067003106,RISKBEH,BINGE,CrdPrv,Binge Drinking,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001901,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,35.9,,,31.2,41.5,1549,POINT (-80.22677871 36.06489855),37067001901,PREVENT,COREW,CrdPrv,Core preventive services for older women,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003906,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,24.2,,,22.9,25.5,3436,POINT (-80.3234367 36.10074643),37067003906,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002502,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,13.3,,,12.8,13.7,2770,POINT (-80.29912085 36.09940446),37067002502,RISKBEH,BINGE,CrdPrv,Binge Drinking,37,2337
2019,NC,North Carolina,Forsyth,37067,37067000802,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,68.3,,,67.2,69.4,2100,POINT (-80.23127538 36.07657807),37067000802,PREVENT,BPMED,CrdPrv,Taking BP Medication,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003312,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,70.8,,,67.3,74.2,2692,POINT (-80.08847512 36.05925237),37067003312,PREVENT,DENTAL,CrdPrv,Dental Visit,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003805,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,20.7,,,18.6,23,5573,POINT (-80.32271014 36.06428965),37067003805,RISKBEH,LPA,CrdPrv,Physical Inactivity,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003701,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,79.2,,,78.5,79.8,4830,POINT (-80.26968853 36.05616365),37067003701,PREVENT,CHECKUP,CrdPrv,Annual Checkup,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001100,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,66.5,,,63.8,69,2254,POINT (-80.26221307 36.09504854),37067001100,PREVENT,DENTAL,CrdPrv,Dental Visit,37,2337
2020,NC,North Carolina,Forsyth,37067,37067004013,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,17.5,,,15.2,20.1,3083,POINT (-80.39616926 36.03375437),37067004013,PREVENT,ACCESS2,CrdPrv,Health Insurance,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001800,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,4.6,,,4.3,4.9,4207,POINT (-80.20878797 36.07748107),37067001800,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,37,2337
2020,NC,North Carolina,Forsyth,37067,37067004102,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,11.2,,,10.3,12.1,3256,POINT (-80.41655399 36.17131266),37067004102,HLTHOUT,DIABETES,CrdPrv,Diabetes,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003904,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,13,,,11.4,14.6,5907,POINT (-80.35496008 36.06964182),37067003904,RISKBEH,CSMOKING,CrdPrv,Current Smoking,37,2337
2020,NC,North Carolina,Forsyth,37067,37067000500,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,30.2,,,28.9,31.5,2391,POINT (-80.22807063 36.11748629),37067000500,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001901,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,79.8,,,79.2,80.4,1549,POINT (-80.22677871 36.06489855),37067001901,PREVENT,CHECKUP,CrdPrv,Annual Checkup,37,2337
2019,NC,North Carolina,Forsyth,37067,37067003903,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,70.6,,,69.6,71.6,4477,POINT (-80.32389444 36.07881572),37067003903,PREVENT,BPMED,CrdPrv,Taking BP Medication,37,2337
2019,NC,North Carolina,Forsyth,37067,37067001601,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,81.9,,,81,82.9,3652,POINT (-80.21232108 36.14057573),37067001601,PREVENT,BPMED,CrdPrv,Taking BP Medication,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003404,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,77.7,,,75.7,79.7,3917,POINT (-80.19153925 36.0670674),37067003404,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002801,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3,,,2.7,3.2,4236,POINT (-80.39405888 36.22614831),37067002801,HLTHOUT,STROKE,CrdPrv,Stroke,37,2337
2020,NC,North Carolina,Forsyth,37067,37067000900,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,78.7,,,75.8,81.5,3508,POINT (-80.24909082 36.08422545),37067000900,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,37,2337
2019,NC,North Carolina,Forsyth,37067,37067000600,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,35.8,,,34.6,37.1,2056,POINT (-80.22950124 36.10806171),37067000600,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002808,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,77.7,,,75.9,79.4,3531,POINT (-80.3193267 36.23878572),37067002808,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003107,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,6.3,,,5.7,7,4391,POINT (-80.09135888 36.14918049),37067003107,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001200,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,7.7,,,6.7,9.3,1959,POINT (-80.26839411 36.10931829),37067001200,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002603,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,27.8,,,26.4,29.2,6553,POINT (-80.31761918 36.13376913),37067002603,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003803,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.7,,,8.4,8.9,4567,POINT (-80.30978958 36.02238988),37067003803,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002604,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,12.4,,,11.4,13.5,6441,POINT (-80.33688147 36.14914804),37067002604,HLTHSTAT,MHLTH,CrdPrv,Mental Health,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003108,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,42.6,,,36.3,49.2,3495,POINT (-80.05234686 36.15036202),37067003108,PREVENT,COREW,CrdPrv,Core preventive services for older women,37,2337
